,MY-상하위 5% 제거,,MY-상하위 1% 제거,,FF-Official,,,,
date,SMB-1Q,HML-1Q,SMB-100Q,HML-100Q,SMB-FF,HML-FF,,"상관계수 btw 1Q, FF",
1992-12-31,-0.3566158,-0.177794345,-0.421106052,-0.172023242,1.67,2.65,,,
1993-01-31,-0.389950201,-0.877559342,-0.458763798,-0.84321514,1.85,5.95,,,
1993-02-28,0.008213873,-1.982803495,0.072892438,-1.91777964,-3.49,6.44,,,
1993-03-31,-0.554402703,-0.322793332,-0.56171181,-0.286338322,0.23,1.19,,,
1993-04-30,0.437762129,-0.63461891,0.418403544,-0.620564515,-0.68,2.48,,,
1993-05-31,-0.413546619,1.146348886,-0.37891677,1.049472937,2.08,-3.5,,,
1993-06-30,-0.213226022,0.549266025,-0.209596329,0.419735392,-0.26,2.72,,,
1993-07-31,-0.159531279,-0.734485899,-0.208279406,-0.712029403,0.9,2.82,,,
1993-08-31,-0.727207493,0.569638825,-0.68511421,0.452267301,0.14,0.14,,,
1993-09-30,-0.453148699,0.803175989,-0.493444364,0.68576967,2.98,-0.35,,,
1993-10-31,-0.357857577,0.82074663,-0.401937006,0.851415878,2.03,-2.78,,,
1993-11-30,0.428793063,-0.247078195,0.458493013,-0.166036846,-1.13,-0.66,,,
1993-12-31,-0.579348139,0.750726124,-0.53393302,0.81476306,1.2,0.27,,,
1994-01-31,-0.432529521,0.00952164,-0.435964028,0.07434322,0.51,1.28,,,
1994-02-28,0.156600459,-0.234022415,0.1893323,-0.165434352,2.8,-1.56,,,
1994-03-31,0.741252699,-0.62892001,0.765898161,-0.626743057,-1.14,1.55,,,
1994-04-30,-0.09577791,-0.860466789,-0.068626897,-0.812089505,-0.92,1.66,,,
1994-05-31,0.020700834,-0.688365052,0.065321681,-0.681315619,-2.12,0.7,,,
1994-06-30,0.094787204,-0.871806169,0.149608135,-0.797771586,-0.4,1.67,,,
1994-07-31,-0.28775716,-0.084557429,-0.267885039,-0.131681439,-1.76,0.57,,,
1994-08-31,-0.744448836,1.034543784,-0.703217172,0.942483774,1.43,-2.5,,,
1994-09-30,0.080661245,0.845971011,0.034530071,0.82177788,3.11,-1.84,,,
1994-10-31,-0.0123986,0.705592571,0.032874087,0.674356397,-2.26,-1.63,,,
1994-11-30,0.650353004,-0.168388631,0.678536009,-0.197886763,0.31,-0.73,,,
1994-12-31,-0.243684799,0.066608134,-0.199152037,0.059285468,0.19,-0.09,,,
1995-01-31,-0.116772012,-0.769396001,-0.129906584,-0.671649189,-3.44,2.51,,,
1995-02-28,-0.687833176,-0.034169277,-0.699708254,-0.041950956,-0.66,1.09,,,
1995-03-31,-0.33900331,1.096598055,-0.321272415,1.04892758,-0.21,-2.08,,,
1995-04-30,-0.265606726,-0.214262336,-0.292822634,-0.184252989,-0.49,1.7,,,
1995-05-31,-0.398989769,-0.51988523,-0.359494378,-0.396456259,-2.52,2.27,,,
1995-06-30,-0.846297122,2.094685078,-0.803444251,1.859439772,3.15,-2.54,,,
1995-07-31,-0.790574074,1.332300509,-0.758300412,1.254078522,2.06,-1.59,,,
1995-08-31,-0.243601332,-0.478544025,-0.275319327,-0.408990762,1.36,2.81,,,
1995-09-30,-0.242826864,0.97369004,-0.299719521,0.853125977,-2.2,-0.05,,,
1995-10-31,0.308649445,-1.205747644,0.364842851,-1.19365509,-3.8,-0.51,,,
1995-11-30,-0.700676602,-0.001846884,-0.63713734,0.002261889,-1.11,0.58,,,
1995-12-31,-0.448367708,0.068970682,-0.431298457,-0.003545047,0.72,0.18,,,
1996-01-31,0.00312531,0.239056562,-0.036974614,0.290535092,-2.73,0.4,,,
1996-02-29,-0.290827936,0.899778961,-0.284062591,0.743176276,1.78,-1.07,,,
1996-03-31,-0.3357954,0.431034276,-0.354748101,0.42993683,1.51,0.36,,,
1996-04-30,-0.40773701,2.250008473,-0.412825703,2.085935988,5.22,-4.05,,,
1996-05-31,-0.066640741,1.325427493,-0.153384869,1.230204507,3.18,-0.89,,,
1996-06-30,0.156380155,-0.832066141,0.126047435,-0.883168402,-3.99,2.38,,,
1996-07-31,0.580009159,-3.242035882,0.598646337,-3.038028263,-4.31,5.14,,,
1996-08-31,-0.65944984,0.783227291,-0.638978178,0.710282081,2.46,-0.74,,,
1996-09-30,-0.647374808,0.957123555,-0.628997672,0.872730768,-0.98,-2.7,,,
1996-10-31,-0.262544408,-2.21488439,-0.18707441,-2.166994632,-4.44,4.94,,,
1996-11-30,-0.7336659,-1.23279348,-0.677203118,-1.156252046,-4.05,1.39,,,
1996-12-31,-0.508157133,-0.469145154,-0.440159827,-0.405686666,3.17,1.32,,,
1997-01-31,-0.16832138,0.763287967,-0.233189266,0.660607422,-1.93,-1.46,,,
1997-02-28,0.141415993,-2.375134206,0.141952267,-2.228554762,-3.2,5.69,,,
1997-03-31,0.338414844,-1.457266265,0.354886856,-1.432724048,-0.35,3.4,,,
1997-04-30,-0.115016437,-1.350234903,-0.112380447,-1.249023303,-5.78,0.07,,,
1997-05-31,-1.265011216,2.372139454,-1.178625822,2.247539181,5.19,-4.12,,,
1997-06-30,-0.963197483,0.635893569,-0.918069652,0.594530459,1.24,1.59,,,
1997-07-31,-0.857607255,-0.189732913,-0.805558863,-0.214804373,-2.73,0.29,,,
1997-08-31,-0.018485082,0.224077494,-0.02931877,0.208819651,7.31,1.2,,,
1997-09-30,-0.981416427,0.692391601,-0.987355115,0.577215743,2.53,0.38,,,
1997-10-31,0.286855159,-1.5596097,0.282350859,-1.526949791,-0.77,2.25,,,
1997-11-30,-0.326080695,-1.243639424,-0.261029336,-1.195953097,-5.13,1.19,,,
1997-12-31,-0.824543081,-2.012215858,-0.704787646,-1.937817612,-2.47,3.86,,,
1998-01-31,0.195816963,0.696870648,0.15478666,0.588421775,-1.06,-1.59,,,
1998-02-28,-0.693369306,0.84260247,-0.665322315,0.851733852,0.34,-0.85,,,
1998-03-31,-0.478351697,0.349350704,-0.504277423,0.343466142,-1.11,1.41,,,
1998-04-30,-0.089595757,0.062719013,-0.068678068,0.064259628,0.02,0.9,,,
1998-05-31,0.315029618,-1.468557549,0.321003887,-1.372000216,-3.35,3.4,,,
1998-06-30,-0.449282119,1.632121553,-0.347634599,1.363203543,-3.23,-1.96,,,
1998-07-31,0.4573326,-1.009510899,0.446285842,-1.034095331,-4.91,-1.76,,,
1998-08-31,1.564368512,-2.09698041,1.582862786,-2.047288689,-5.68,3.6,,,
1998-09-30,-1.066066336,1.891702473,-0.944155101,1.678271186,0.1,-3.37,,,
1998-10-31,-0.845852876,1.246341249,-0.794280319,1.244881667,-3.12,-2.29,,,
1998-11-30,-0.729356316,1.232350838,-0.698185474,1.076834692,1.2,-3.23,,,
1998-12-31,-0.769506665,2.046744646,-0.709739549,1.782298305,-0.51,-4.18,,,
1999-01-31,0.714341897,1.108789988,0.468240625,1.147934803,0.78,-4.62,,,
1999-02-28,0.621103357,-1.075872942,0.575286528,-1.062754872,-6.06,1.88,,,
1999-03-31,-0.07214758,0.631058065,-0.030899685,0.608284597,-3.77,-2.77,,,
1999-04-30,-0.847243935,0.484000634,-0.844690897,0.49707018,3.95,2.41,,,
1999-05-31,-0.17132421,0.13077703,-0.19169159,0.222372612,3.37,2.3,,,
1999-06-30,-0.694908152,2.371236203,-0.60513829,2.079704564,3.14,-3.27,,,
1999-07-31,0.109699842,-0.080711363,0.061793126,-0.045805557,2.6,-0.42,,,
1999-08-31,0.028662862,-0.192290083,0.087120987,-0.220579879,-0.94,-1.84,,,
1999-09-30,0.191220198,1.463175857,0.213760103,1.435929696,3.44,-3.48,,,
1999-10-31,-0.238847922,0.178823152,-0.161867592,0.18406615,-6.61,-3.37,,,
1999-11-30,-0.309796163,3.395929949,-0.220990783,3.004912681,7.22,-6.16,,,
1999-12-31,-0.242135154,4.730505812,-0.233925576,4.299406973,6.99,-8.32,,,
2000-01-31,1.667250191,1.398614266,1.320158877,1.130212189,5.79,-1.89,,,
2000-02-29,1.146955603,5.086464892,0.966931826,4.669099981,21.48,-9.81,,,
2000-03-31,-0.22679038,0.426382548,-0.29314019,0.576196233,-17.29,8.23,,,
2000-04-30,-0.979630687,-2.939388414,-0.871860736,-2.820582826,-6.63,7.25,,,
2000-05-31,-0.515178819,-2.078391204,-0.419455338,-1.994201809,-6.11,4.83,,,
2000-06-30,-0.686167458,5.308828138,-0.577265404,4.630081588,12.8,-8.41,,,
2000-07-31,-0.253106505,-2.512379925,-0.266389557,-2.16474876,-3.08,8.33,,,
2000-08-31,-0.721490864,1.10115468,-0.658504069,0.896838655,-0.63,-1.37,,,
2000-09-30,-0.148197462,-1.653376529,-0.103477497,-1.537700636,-1.73,7.17,,,
2000-10-31,-0.334359645,-2.550266071,-0.268931315,-2.431290364,-3.93,5.64,,,
2000-11-30,0.154743991,-5.53942005,0.126657406,-5.123747257,-3.39,12.34,,,
2000-12-31,-1.423415728,-1.685768859,-1.300003082,-1.535992866,0.73,7.6,,,
2001-01-31,0.245547062,4.089679262,0.112617855,3.564203334,6.68,-5.11,,,
2001-02-28,0.148977955,-4.672133536,0.094150385,-4.255076495,-0.74,12.48,,,
2001-03-31,-0.054839747,-2.954244357,-0.068741996,-2.743145571,0.27,6.43,,,
2001-04-30,-0.710756566,2.090640072,-0.643797792,1.764090312,0.56,-4.69,,,
2001-05-31,-0.310078412,-0.658525743,-0.324460083,-0.566960479,2.5,3.36,,,
2001-06-30,-0.584841891,0.952876558,-0.465334493,0.813477284,6.27,-1.13,,,
2001-07-31,-0.214965735,-1.756280327,-0.180541334,-1.680545185,-4.19,5.21,,,
2001-08-31,-0.097896781,-1.427040743,-0.033253851,-1.380174958,2.48,2.3,,,
2001-09-30,0.511450811,-2.170590072,0.51057578,-2.158300254,-6.25,1.46,,,
2001-10-31,-0.533408061,2.866879268,-0.503909436,2.636402321,7.49,-7.66,,,
2001-11-30,-0.835697964,1.518760852,-0.710109073,1.39450651,-0.47,2.22,,,
2001-12-31,-0.8604976,1.545060819,-0.710316864,1.331896631,4.73,0.85,,,
2002-01-31,0.178466735,-1.173479694,0.150011936,-1.030154494,1.19,3.44,,,
2002-02-28,-0.15676669,-1.728520007,-0.090465829,-1.606525521,-1,2.16,,,
2002-03-31,-0.683483946,0.917734633,-0.693847074,0.951365658,4.21,1.07,,,
2002-04-30,-0.234052304,-2.190232477,-0.190941539,-2.016092537,5.96,3.88,,,
2002-05-31,-0.087658379,-1.363656979,-0.041425801,-1.325420643,-3.21,1.53,,,
2002-06-30,-0.235922111,-0.604568416,-0.162698512,-0.74832715,4.28,-0.03,,,
2002-07-31,0.44982642,-1.966833492,0.477484122,-1.928924593,-5.26,-3.87,,,
2002-08-31,-0.331689145,0.05689876,-0.229699284,-0.043768246,-2.87,3.31,,,
2002-09-30,0.302683866,-0.694681826,0.409756105,-0.810519665,2.43,1.44,,,
2002-10-31,-0.656975206,1.277286288,-0.511293814,1.046026248,-3.41,-3.95,,,
2002-11-30,-0.698419825,1.416407957,-0.587833723,1.386128786,3.23,-1.27,,,
2002-12-31,-0.013726461,-1.591096464,0.105240909,-1.548328184,0.11,2.13,,,
2003-01-31,0.244838412,-1.1049535,0.175701946,-0.892698495,1.3,-0.73,,,
2003-02-28,0.077638078,-0.629981516,0.157907725,-0.68073749,-0.46,-1.38,,,
2003-03-31,-0.068420668,0.269142346,-0.071209962,0.227838754,1.04,-1.93,,,
2003-04-30,-0.791563075,1.313460775,-0.800570987,1.283351445,0.67,1.17,,,
2003-05-31,-0.78146855,2.034801266,-0.759521008,2.028463801,4.71,0.53,,,
2003-06-30,-0.310311754,1.260387396,-0.33814069,1.150976501,1.74,0.19,,,
2003-07-31,-0.457584827,0.22641882,-0.394222594,0.094599869,5.11,-1.19,,,
2003-08-31,-0.370184897,0.885243798,-0.334138564,0.860807422,2.62,1.54,,,
2003-09-30,0.021562199,-0.239350639,-0.008197707,-0.23339574,0.8,0.1,,,
2003-10-31,-0.693598017,0.727324357,-0.701626315,0.778826572,2.63,1.92,,,
2003-11-30,-0.358437297,-0.106466165,-0.327583828,-0.013689534,2,1.81,,,
2003-12-31,-0.386603924,-0.227379284,-0.369102878,-0.199429404,-2.71,1.6,,,
2004-01-31,-0.057464241,1.306656598,-0.114356862,1.183044214,2.54,2.46,,,
2004-02-29,-0.22353136,-0.335606018,-0.217054304,-0.225262878,-1.52,0.87,,,
2004-03-31,-0.042446163,-0.061768604,-0.070147069,0.014712132,1.75,0.23,,,
2004-04-30,0.272115266,-0.169872597,0.275154352,-0.145659566,-1.74,-3.02,,,
2004-05-31,-0.193923989,-0.127377952,-0.112307511,-0.174014786,-0.25,-0.23,,,
2004-06-30,-0.443778306,0.497710927,-0.416311787,0.575705959,2.28,1.23,,,
2004-07-31,0.323442992,-2.524872285,0.379281399,-2.355951329,-3.8,3.22,,,
2004-08-31,-0.023464505,-1.326407765,-0.002616972,-1.313396307,-1.49,1,,,
2004-09-30,-0.453123503,1.112963385,-0.412225997,1.084202574,3.02,-0.02,,,
2004-10-31,-0.270983349,0.050340572,-0.238783197,-0.01948531,0.15,-0.25,,,
2004-11-30,-0.735851541,0.704628951,-0.715145619,0.697126754,3.73,1.45,,,
2004-12-31,-0.492205005,1.158510606,-0.453884523,1.072527405,-0.03,-0.21,,,
2005-01-31,0.300611257,-0.756785526,0.321801977,-0.701314479,-1.72,2.07,,,
2005-02-28,-0.147057161,0.167209277,-0.128956405,0.128594613,-0.57,1.54,,,
2005-03-31,0.221427519,-0.526131403,0.21546415,-0.430982757,-1.4,2.05,,,
2005-04-30,0.444108723,-1.434522849,0.432583866,-1.329365019,-3.93,0.05,,,
2005-05-31,-0.436695654,0.856918291,-0.402993617,0.745778046,2.88,-0.59,,,
2005-06-30,-0.418427283,0.683907422,-0.393621867,0.430181459,2.59,2.81,,,
2005-07-31,-0.591909409,0.649331245,-0.561801983,0.72156358,2.9,-0.78,,,
2005-08-31,0.147286468,-0.148065087,0.151415834,-0.083117081,-0.98,1.34,,,
2005-09-30,-0.103767908,0.721186537,-0.096695628,0.639721965,-0.67,0.69,,,
2005-10-31,0.309320939,-1.178343835,0.301565077,-1.108674197,-1.23,0.41,,,
2005-11-30,-0.395388514,0.412306133,-0.354875676,0.289848563,0.99,-1.2,,,
2005-12-31,-0.105048997,0.237776564,-0.073452599,0.246397417,-0.41,0.22,,,
2006-01-31,-0.693201784,1.823800775,-0.642268099,1.660103683,5.42,1.09,,,
2006-02-28,0.002339715,-0.217866826,-0.011972873,-0.167951462,-0.4,-0.37,,,
2006-03-31,-0.481722793,0.71179888,-0.446786083,0.676111014,3.45,0.55,,,
2006-04-30,-0.052717626,-0.031078944,-0.038720091,-0.013731128,-1.43,2.34,,,
2006-05-31,0.397474345,-1.782847253,0.389691507,-1.642865634,-2.98,2.39,,,
2006-06-30,-0.006443867,-0.075002248,0.016703391,-0.160888992,-0.38,0.8,,,
2006-07-31,0.226027099,-1.430837142,0.220231635,-1.266274112,-3.99,2.62,,,
2006-08-31,-0.278921736,0.096037702,-0.25403994,0.080787237,1.01,-2.04,,,
2006-09-30,-0.096611096,-0.24673916,-0.086812832,-0.103768419,-1.34,0.06,,,
2006-10-31,-0.520445428,0.717131168,-0.471801728,0.654289614,1.72,-0.26,,,
2006-11-30,-0.208456979,0.382729561,-0.198807219,0.391081625,0.72,0.11,,,
2006-12-31,-0.13942772,-0.498884141,-0.120840696,-0.377705903,-1.13,2.71,,,
2007-01-31,-0.236207197,0.69944715,-0.211169081,0.631486073,0.14,-0.7,,,
2007-02-28,0.072913919,-0.040836198,0.046450759,0.000991859,1.18,-0.12,,,
2007-03-31,-0.093858377,0.634318271,-0.074419886,0.569732746,0.15,-0.94,,,
2007-04-30,-0.233612301,0.78429493,-0.229751331,0.701067106,-2.17,-1.43,,,
