date,SMB,HML
1987-06-30,-0.6983222628246348,0.4073760406311921
1987-07-31,-0.28730690069749876,0.27159239560016635
1987-08-31,-0.7157436040856818,0.05758326283456039
1987-09-30,0.06395811834102738,0.2580516243141536
1987-10-31,0.2956304702974477,-2.5173597129397915
1987-11-30,0.45760925559969884,-0.7577426222564756
1987-12-31,-1.735233989878638,1.9540762607200854
1988-01-31,0.23977834346661717,-1.371056711310183
1988-02-29,-0.9191069317814273,0.44398840022697
1988-03-31,0.3799529850593493,0.6893803096054243
1988-04-30,-0.08765799442081702,-0.02695870910456909
1988-05-31,0.05377844475399085,-0.48612889821937605
1988-06-30,-1.3499188519493295,1.3360689664762089
1988-07-31,0.3218441284173637,-0.5315379336229821
1988-08-31,0.09702847251845473,-0.6231924483597434
1988-09-30,-0.39864731338436193,0.2852017283117932
1988-10-31,-0.31777461718638605,-0.441311395760068
1988-11-30,-0.2612311335774694,-0.06381983228584374
1988-12-31,-0.2635796656426037,0.6538656568863066
1989-01-31,-0.24094550403510095,0.019020949955579278
1989-02-28,0.04651059010659424,-0.15444129219373806
1989-03-31,-0.15254959062124568,0.03270330526269705
1989-04-30,-0.5796833133576667,0.4386287375016224
1989-05-31,-0.7065322796535745,0.1592651364831641
1989-06-30,-0.21425439262430998,0.04521361229544657
1989-07-31,-0.9267326114366354,0.48652039693957916
1989-08-31,-0.25797318719271245,0.10023668171087992
1989-09-30,0.0805268891976298,0.7328785569800321
1989-10-31,0.3247587113129613,0.28940339965382694
1989-11-30,-0.36145746194714334,0.748984342530225
1989-12-31,-0.2861114136136373,0.8117088185711229
1990-01-31,0.9079603077435253,-0.4562357584075208
1990-02-28,-0.2487821617519131,0.3259923912938399
1990-03-31,-0.33553506741431277,1.1757183466871428
1990-04-30,0.457673674790176,0.5302671672175635
1990-05-31,-1.0101502114803957,1.5622913544227894
1990-06-30,-0.25010507724740766,1.692295801112689
1990-07-31,0.22891480310847215,0.3023903850513144
1990-08-31,1.1359034398837433,-1.1070176594541827
1990-09-30,0.8145273210818732,0.17662114176614507
1990-10-31,0.32928858400270594,0.6680639823063526
1990-11-30,-1.3446762795495948,1.0708327797966453
1990-12-31,-0.7484560756938059,1.0467179155048996
1991-01-31,-1.03966289339645,0.6477667279100541
1991-02-28,-1.5250719771218713,0.45649500908311186
1991-03-31,-0.5933686245342987,0.8303914124408143
1991-04-30,0.0757186198426679,-0.48344638151405345
1991-05-31,-0.5476766079868258,0.06965619810962459
1991-06-30,0.18522734960822196,0.33778891821924295
1991-07-31,-0.5978883578999009,1.0255839243727292
1991-08-31,-0.4086808425100259,0.3039592371441364
1991-09-30,-0.07476057278417442,0.7407709000477268
1991-10-31,-0.4439651460173286,0.8938599450904521
1991-11-30,0.5727534273616841,-0.2063186058448874
1991-12-31,-1.4904924266956536,2.0609671631152993
1992-01-31,-0.36732436969683646,-0.18921423417231562
1992-02-29,-0.20594631226984345,-0.8657963483016706
1992-03-31,0.20218493093826026,-0.9680480701730874
1992-04-30,0.16504491167269147,-1.6301901665377176
1992-05-31,-0.13150020233516782,-0.32296484294888855
1992-06-30,0.4205213556433064,-0.18207388938219163
1992-07-31,-0.7681043721199018,0.3769660063299551
1992-08-31,0.2549215638976897,-0.1998900835653964
1992-09-30,-0.3802422258680787,0.6704279303796743
1992-10-31,-0.4196726424304096,0.782395966152626
1992-11-30,-0.9716842048404907,1.3316665622502604
1992-12-31,-0.35661579965889434,-0.17779434475323486
1993-01-31,-0.38995020100880773,-0.8775593423338603
1993-02-28,0.008213872519175687,-1.9828034949801125
1993-03-31,-0.5544027032435188,-0.32279333226807333
1993-04-30,0.4377621294626289,-0.6346189103210187
1993-05-31,-0.41354661856686026,1.146348885670318
1993-06-30,-0.21322602194334975,0.549266025368357
1993-07-31,-0.15953127944648074,-0.7344858988213341
1993-08-31,-0.7272074929509237,0.5696388248756364
1993-09-30,-0.4531486993140381,0.8031759894486288
1993-10-31,-0.35785757665281026,0.820746630302207
1993-11-30,0.42879306267983275,-0.24707819486276036
1993-12-31,-0.5793481393828893,0.750726124452506
1994-01-31,-0.4325295206930714,0.009521640469204243
1994-02-28,0.1566004588718232,-0.23402241529400636
1994-03-31,0.7412526992187066,-0.62892000962956
1994-04-30,-0.09577791018483721,-0.8604667891749218
1994-05-31,0.0207008341230391,-0.688365052141634
1994-06-30,0.09478720359213799,-0.8718061690457964
1994-07-31,-0.2877571598621239,-0.0845574288488987
1994-08-31,-0.744448836118608,1.0345437844050351
1994-09-30,0.08066124490545229,0.8459710108303925
1994-10-31,-0.012398600446239237,0.7055925710909688
1994-11-30,0.6503530040851317,-0.16838863067639048
1994-12-31,-0.24368479943334323,0.06660813413172988
1995-01-31,-0.11677201172421584,-0.7693960010340762
1995-02-28,-0.6878331760963878,-0.03416927703458056
1995-03-31,-0.33900331015217333,1.0965980548195597
1995-04-30,-0.2656067262163526,-0.21426233585807064
1995-05-31,-0.39898976919456414,-0.5198852302316412
1995-06-30,-0.8462971219556911,2.0946850778660466
1995-07-31,-0.7905740737440412,1.3323005093728941
1995-08-31,-0.24360133166628223,-0.47854402475991653
1995-09-30,-0.24282686379157004,0.9736900401366689
1995-10-31,0.30864944501159525,-1.2057476442910289
1995-11-30,-0.7006766019639414,-0.0018468839960149828
1995-12-31,-0.4483677083075564,0.06897068238260456
1996-01-31,0.0031253103259272844,0.2390565623090476
1996-02-29,-0.29082793626454384,0.8997789613622357
1996-03-31,-0.3357954002868445,0.431034275557886
1996-04-30,-0.4077370096331648,2.2500084727959786
